"category","word","active","attempts","successes"
"person","io",1,43,18
"person","tu",1,31,18
"person","lui/lei/Lei",1,5,3
"person","noi",1,25,13
"person","voi",1,36,15
"person","loro",1,4,3
"tense","Presente",1,22,13
"tense","Future Anteriore",1,9,5
"tense","Futuro Semplice",1,4,3
"tense","imperative",1,13,11
"tense","Imperfetto",1,10,3
"tense","Imperfetto Congiuntivo",1,8,6
"tense","Passato Condizionale",1,10,4
"tense","Passato Congiuntivo",1,26,6
"tense","Passato Prossimo",1,4,4
"tense","Passato Remoto",1,11,5
"tense","Presente",1,22,13
"tense","Presente Condizionale",1,13,7
"tense","Presente Congiuntivo",1,15,3
"tense","Trapassato Congiuntivo",1,9,4
"tense","Trapassato Prossimo",1,14,8
"tense","Trapassato Remoto",1,13,6
"verb","abbassare",0,0,0
"verb","abbracciare",0,0,0
"verb","accendere",1,0,0
"verb","accennare",0,0,0
"verb","accettare",1,0,0
"verb","accusare",1,0,0
"verb","adattare",0,0,0
"verb","adorare",1,0,0
"verb","affascinare",0,0,0
"verb","afferrare",0,0,0
"verb","aggiungere",1,0,0
"verb","aggiustare",0,0,0
"verb","aiutare",1,0,0
"verb","allontanarsi",1,0,0
"verb","alzarsi",0,0,0
"verb","alzarsi (in piedi)",0,0,0
"verb","amare",1,2,1
"verb","ammalarsi",0,0,0
"verb","ammettere",0,0,0
"verb","ammirare",0,0,0
"verb","andare",1,1,1
"verb","annunciare",1,0,0
"verb","apparire",0,0,0
"verb","aprire",1,0,0
"verb","arrabbiarsi",1,0,0
"verb","arrivare",1,1,0
"verb","asciugarsi",0,0,0
"verb","ascoltare",1,0,0
"verb","aspettare",1,1,0
"verb","assumere",0,0,0
"verb","attaccare",0,0,0
"verb","attirare (l'attenzione di qualcuno)",0,0,0
"verb","attrarre",0,0,0
"verb","attraversare",0,0,0
"verb","avanzare",0,0,0
"verb","avere",1,2,0
"verb","avere (bisogno di)",1,2,2
"verb","badare",0,0,0
"verb","ballare",0,0,0
"verb","bere",1,0,0
"verb","bruciare",0,0,0
"verb","buttare (via)",0,0,0
"verb","cadere",1,2,2
"verb","cambiare",1,0,0
"verb","camminare",1,0,0
"verb","cantare",1,0,0
"verb","capire",1,0,0
"verb","celebrare",1,0,0
"verb","cenare",1,0,0
"verb","cercare",1,0,0
"verb","chiacchierare",0,0,0
"verb","chiamare",1,0,0
"verb","chiedere",1,0,0
"verb","chiudere",1,0,0
"verb","colpire",0,0,0
"verb","compiere",0,0,0
"verb","comprare",1,0,0
"verb","concentrarsi",1,0,0
"verb","conoscere",1,1,0
"verb","conquistare",0,0,0
"verb","consegnare",0,0,0
"verb","contare",1,0,0
"verb","contare su",0,0,0
"verb","continuare",1,0,0
"verb","contribuire",1,0,0
"verb","convincere",1,0,0
"verb","coprire",1,0,0
"verb","correggere",0,0,0
"verb","correre",1,0,0
"verb","costare",1,0,0
"verb","costruire",1,0,0
"verb","creare",0,0,0
"verb","credere",1,1,0
"verb","crescere",1,0,0
"verb","cucinare",1,0,0
"verb","dare",1,0,0
"verb","dare (consigli)",0,0,0
"verb","decidere",0,0,0
"verb","dedicarsi",1,0,0
"verb","depositare",1,0,0
"verb","derubare",0,0,0
"verb","descrivere",1,1,0
"verb","desiderare",1,1,0
"verb","dibattere",0,0,0
"verb","dichiarare",0,0,0
"verb","dimenticare",1,0,0
"verb","dipendere",0,0,0
"verb","dipingere",0,0,0
"verb","dire",1,1,0
"verb","dirigere",0,0,0
"verb","discutere",1,0,0
"verb","disegnare",0,0,0
"verb","distrarre",0,0,0
"verb","distruggere",0,0,0
"verb","diventare",1,0,0
"verb","divertirsi",1,0,0
"verb","domandare",1,1,0
"verb","dormire",1,0,0
"verb","dovere",1,0,0
"verb","dubitare",1,0,0
"verb","durare",1,0,0
"verb","entrare",1,0,0
"verb","esercitarsi",0,0,0
"verb","esistere",0,0,0
"verb","esprimere",0,0,0
"verb","essere",0,0,0
"verb","essere",0,0,0
"verb","fare",0,0,0
"verb","fare",0,0,0
"verb","fare (attenzione)",0,0,0
"verb","fare (colazione)",0,0,0
"verb","fare (conversazione)",0,0,0
"verb","fare (il bagno)",0,0,0
"verb","fare (il numero)",0,0,0
"verb","fare (la doccia)",0,0,0
"verb","fare (male)",0,0,0
"verb","fare (male)",0,0,0
"verb","finire",0,0,0
"verb","finire",0,0,0
"verb","finire",0,0,0
"verb","firmare",0,0,0
"verb","formare",0,0,0
"verb","fumare",0,0,0
"verb","funzionare",0,0,0
"verb","giocare",0,0,0
"verb","girare",0,0,0
"verb","giudicare",0,0,0
"verb","guadagnare",0,0,0
"verb","guardare",0,0,0
"verb","guardare",0,0,0
"verb","guidare",0,0,0
"verb","guidare",0,0,0
"verb","immaginare",0,0,0
"verb","imparare",0,2,2
"verb","includere",0,0,0
"verb","incontrare",0,0,0
"verb","indicare",0,0,0
"verb","indossare",0,0,0
"verb","indovinare",0,0,0
"verb","iniziare",0,0,0
"verb","iniziare",0,0,0
"verb","innamorarsi",0,0,0
"verb","insegnare",0,0,0
"verb","insistere",0,0,0
"verb","interessare",0,0,0
"verb","interrompere",0,0,0
"verb","introdurre",0,0,0
"verb","invitare",0,0,0
"verb","lamentarsi",0,0,0
"verb","lasciare",0,0,0
"verb","lasciare",0,0,0
"verb","lasciare (qualcosa o qualcuno)",0,0,0
"verb","laurearsi",0,0,0
"verb","lavarsi",0,0,0
"verb","lavorare",0,0,0
"verb","leggere",0,0,0
"verb","liberarsi (di)",0,0,0
"verb","litigare",0,0,0
"verb","mancare",0,0,0
"verb","mangiare",0,0,0
"verb","mantenere",0,0,0
"verb","mantenere",0,0,0
"verb","mentire",0,0,0
"verb","meritarsi",0,0,0
"verb","mettere",0,0,0
"verb","mettere",0,0,0
"verb","migliorare",0,0,0
"verb","mordere",0,0,0
"verb","morire",0,0,0
"verb","mostrare",0,0,0
"verb","muovere",0,0,0
"verb","nascondere",0,0,0
"verb","nevicare",0,0,0
"verb","nuotare",0,0,0
"verb","occupare",0,0,0
"verb","offrire",0,0,0
"verb","ordinare",0,0,0
"verb","organizzare",0,0,0
"verb","pagare",0,0,0
"verb","parlare",0,0,0
"verb","partecipare",0,0,0
"verb","partecipare",0,0,0
"verb","passare",0,0,0
"verb","pensare",0,0,0
"verb","perdere",0,0,0
"verb","permettere",0,0,0
"verb","permettere",0,0,0
"verb","piacere",0,0,0
"verb","piangere",0,0,0
"verb","pianificare",0,0,0
"verb","piegare",0,0,0
"verb","piovere",0,0,0
"verb","portare",0,0,0
"verb","portare",0,0,0
"verb","pranzare",0,0,0
"verb","preferire",0,0,0
"verb","prendere",0,0,0
"verb","prendersi (cura di)",0,0,0
